,coef
significant,6.469726366959802
expressed,4.859536500462529
despite,4.0373443630042765
including,4.001148660061901
saying,3.1609909141866552
looking,2.5682583015056
expected,2.546672557481568
recent,2.363632230125688
victory,2.2357428782828084
according,2.210310334793936
major,2.1976384643132914
provide,2.099804272164965
seen,2.077581517038594
concerns,2.049364062835429
incident,1.9961879220150611
remain,1.8713027869978682
likely,1.8159920917863672
old,1.7846995073139826
key,1.7564973610665422
impact,1.690475573781375
community,1.6140969192814312
come,1.6054074986849092
coming,1.6004607290088944
need,1.5817183320501214
investigation,1.5446287001931844
continue,1.3096839163444738
increase,1.3058385981118434
hard,1.2479828501534613
decision,1.2265274854493882
performance,1.2043968581376026
team,1.1033571359849699
social,1.098982032070114
groups,1.086637965795619
fans,1.0808302226678872
strong,1.061635001966873
working,1.0411950432713946
potential,1.0318116910601516
role,1.0255242217111091
lead,1.0015987949862644
support,0.9828957788646617
ve,0.9025555628657143
just,0.8822010366939218
family,0.8535415480059013
face,0.7916045091599042
manager,0.7778483962371776
local,0.772194555343382
making,0.7399455443850337
attack,0.7258516253245648
british,0.6829001170422789
win,0.6821056158052516
announced,0.6731952098741978
match,0.6416547244238393
make,0.6176508677590632
past,0.6091448648465454
action,0.5870704005488758
uk,0.5540890649172574
young,0.5502673092571948
taking,0.5451732032172717
weeks,0.5437653616525153
life,0.5334804568080918
safety,0.5308339488881431
taken,0.4545769869559033
issue,0.4316586101500535
campaign,0.4082205472431795
series,0.364667565972738
great,0.3415672326773922
clear,0.3378371018392626
took,0.33651914790832615
latest,0.3354884500574858
national,0.3199474872830764
country,0.28440436835325567
government,0.28379509594752084
remains,0.2821355015783922
long,0.27772965891801377
known,0.263986262590184
region,0.25543228424415043
result,0.25488287576327606
future,0.23764204841392667
pay,0.2009330961092118
forward,0.17135614740743352
player,0.16218998670486004
players,0.14500255871148732
death,0.1260281920421064
home,0.08288332843744113
authorities,0.07313829115175777
set,0.03650579653923354
led,0.020433380553983263
case,0.02012967331240123
million,0.016980472685644565
high,0.0007483638933447889
evidence,-0.015580393887562632
party,-0.01938162530449719
court,-0.05163825603308958
human,-0.06298524235031258
industry,-0.0635973895608157
northern,-0.07627298636679977
place,-0.10901624070037558
european,-0.1217902143005177
scottish,-0.12257632552464767
health,-0.1429838002447817
corner,-0.16787872640100737
leader,-0.16864439720650856
rights,-0.18933762101543328
football,-0.19241442935928332
economic,-0.20111027536745513
held,-0.23383219878336997
welsh,-0.23844105162884133
children,-0.2646363106938676
security,-0.27313809895690033
hospital,-0.31275956995388965
think,-0.31457447016748075
goal,-0.31504058003081437
centre,-0.352746231378928
got,-0.35429705799119504
able,-0.3714567279098871
