,00_average_tfidf
said,0.9716388345230478
year,0.5679104420700086
people,0.48177688331648755
time,0.4750078953470592
mr,0.43115336135150684
told,0.4121294278330037
years,0.4103067512236319
new,0.3999194446483284
just,0.36273112688406633
bbc,0.36066692508574183
added,0.3392591911480948
world,0.2920481442385676
like,0.288212378928053
make,0.2826193605599161
government,0.2797932584462314
way,0.2760572775734829
old,0.2713527900326585
work,0.26380355997021315
day,0.25530392044818034
did,0.2542312666079088
000,0.2537271603978772
home,0.24835339426902506
going,0.2462035011524944
uk,0.24616333944477015
place,0.23365894203352847
long,0.233529230980278
second,0.2331804481840112
say,0.23060815663157608
team,0.23020338895918327
number,0.22889280491716438
including,0.22780146001001067
says,0.2259769119056969
good,0.22515311438106358
think,0.2216969671601243
left,0.2189388003354258
right,0.21766071951958435
end,0.2148763011836747
week,0.21278757298714146
10,0.21084406601797812
need,0.20948634397413102
come,0.20705248886927302
set,0.20429770524658902
group,0.2035818846788812
want,0.20329031356234986
police,0.20301671386374645
called,0.2024057177959648
country,0.20152915690123965
following,0.19988914412450254
high,0.1959414595012015
took,0.19391990812361357
news,0.19243424614804122
media,0.19166005855410956
later,0.1906277425061013
public,0.18972215489827182
ve,0.18779850624432615
know,0.1875915133815696
got,0.18743751769515482
don,0.1863617054131339
help,0.18258033552509245
used,0.18126615225038736
won,0.18085703593187835
half,0.17937534315043746
support,0.17674184218093963
best,0.1764702740701815
taken,0.1764306750684392
came,0.17542759735397176
months,0.17405076302299793
minister,0.17400928538653382
life,0.17391233297556463
city,0.17092510208449724
really,0.17048038566998164
national,0.1703178752365493
win,0.1686310743571139
month,0.16837537745001868
given,0.1661112668318989
away,0.1645225904514333
having,0.16329281154606426
great,0.16316587325948345
court,0.1615670050007837
state,0.16071060275174237
game,0.16052578809386567
earlier,0.15992542098718682
days,0.15986918970240577
england,0.15823161613279554
20,0.1581441701579285
seen,0.15723013614679904
man,0.15612024745049177
president,0.1543418072320163
family,0.15397327940463942
local,0.15339615578669719
london,0.15266861498708736
better,0.15159820444646066
play,0.15158179518341341
final,0.1506666207077345
south,0.1506272715123609
2015,0.1494908224763653
case,0.14880812852211328
head,0.1485006832653027
statement,0.14835451730936056
working,0.14690578287091052
chief,0.1464533460833322
saying,0.146389364348768
far,0.14638846857989074
international,0.1457112876707002
went,0.14565610754043498
times,0.1450599092297521
run,0.14495745240145916
past,0.14461408061926437
big,0.14399175497636355
clear,0.14324102617734505
2014,0.14237566249704098
lot,0.14019145775161934
season,0.1395380998989507
early,0.1386985468938923
future,0.13853915247469903
money,0.1383742317427012
start,0.1382765266789508
use,0.13787105411674486
close,0.13750143282396218
look,0.1363613666694923
able,0.13554214893981278
decision,0.13415068477350858
led,0.13379149558902792
report,0.13357523804246405
british,0.13293050226025518
lost,0.13268360113324695
making,0.13267319786713627
recent,0.13256104071520397
12,0.13230169445372555
asked,0.13208477096841684
taking,0.1318928238154859
centre,0.13091401287593946
thought,0.1307306491407226
point,0.13022390521167432
important,0.12989608224466584
30,0.12878046509218652
deal,0.12863162194632385
ahead,0.12787010669906818
based,0.1275829908863946
party,0.1274358275968112
15,0.12683082349412803
area,0.1261163607936363
north,0.12501918854647645
forward,0.12482357805176675
scotland,0.1245407455573001
campaign,0.12438966284209026
does,0.12417516620005062
known,0.12345649767821683
held,0.12327177106635605
different,0.12315914068073226
children,0.12287364410022433
david,0.12244471246822633
service,0.12223364944429166
young,0.12213241960405302
change,0.12213131236040277
league,0.12173508055691518
players,0.12162828364474168
wales,0.12161512627090224
men,0.1215993049903483
hard,0.12132854844432504
free,0.1211468858810692
continue,0.12105966844435609
ago,0.1202991692164979
match,0.11979568828933848
games,0.11969302250862454
club,0.11887128526292953
company,0.11872564996430024
outside,0.11839879133933257
leader,0.1179402662839669
members,0.11732512744881314
according,0.11731914280090923
lead,0.11727163420187417
director,0.1168290176056147
played,0.11661990395854106
little,0.11638409765285777
supported,0.11636977689029229
expected,0.11633589515982962
council,0.11617928049534036
ms,0.11535210740052443
wanted,0.1146121135338079
west,0.11427094515021803
major,0.11397207484443118
saturday,0.11265259275620201
died,0.11239482418779746
things,0.11224417671463405
health,0.11199504406632163
european,0.11179277104610608
services,0.11070124641122216
john,0.11055618333695455
points,0.11017322981797904
united,0.10971879052595192
action,0.1095188098831298
open,0.1080094199433196
live,0.10790761883429899
house,0.10738566619001882
business,0.10666685183677256
staff,0.10658224174634913
political,0.10586515549563767
death,0.10556151130206944
security,0.10356248027840602
northern,0.10282339802350753
office,0.10198449067500982
social,0.10099983379004643
attack,0.10081134838021617
minutes,0.10064819443209662
information,0.100297493107691
device,0.09948418577781112
real,0.09916765064744272
evidence,0.09907668249739995
power,0.09899766781027458
cup,0.09795088601447406
women,0.09791785523143003
university,0.09776680358824086
million,0.09623485754552757
secretary,0.0960080736104053
manager,0.09562797704299696
ireland,0.09470059944497382
countries,0.09447166746531917
killed,0.09431866550784548
shot,0.09270252121543691
pay,0.09240801125195773
goal,0.09221024488633596
prime,0.09098285621621924
football,0.08911553256426907
labour,0.08806806144608911
election,0.0880079665307
school,0.08586550601163752
hospital,0.08530817341511224
attempt,0.08526886994669526
sport,0.08247563181140811
scottish,0.08204229533912
vote,0.0788702035490608
care,0.07864979463505613
ball,0.07559058628791011
eu,0.07545031443570374
missed,0.07295660416703964
town,0.07220791786735689
manchester,0.06188338192767784
kick,0.060304133769007506
wins,0.05957111764166358
box,0.05607303216412009
china,0.05575888180005383
corner,0.0541297179380333
saved,0.046524142498595183
foul,0.0436456672032881
trump,0.03914856816235864
blocked,0.03903025456109193
replaces,0.03794200143603047
footed,0.035330759200685305
substitution,0.03453020032172816
