,00_average_tfidf
significant,0.46220434700583235
including,0.4206640628706755
year,0.3916744712891802
said,0.3432116328668572
new,0.34068374186192235
uk,0.32917832661672797
government,0.32769126318796654
years,0.3148788649545271
seen,0.3087575157254854
recent,0.2922318792417501
expected,0.29106224141456494
concerns,0.2669922511547403
major,0.2537936087735955
country,0.25210632474742845
team,0.24932087366309488
set,0.24646883416342774
long,0.23252431426437528
despite,0.23161549956557825
support,0.22980976735399572
old,0.2276303324066635
time,0.22422003053306774
according,0.222246551673633
people,0.2210721575093777
likely,0.21558351369674106
high,0.21055625254480206
world,0.2104591608259428
expressed,0.20747852178873188
local,0.2048095282709859
decision,0.20189806778286581
impact,0.20040144980259078
working,0.1963318331691876
place,0.19513580207948772
sparked,0.19464203081006523
need,0.1920020172352378
number,0.18452997822559145
work,0.18160508614974488
make,0.18082151990735623
come,0.17783982164828924
just,0.1777137908163246
key,0.17351310463815725
provide,0.17206208020889774
investigation,0.16486342697904954
coming,0.16424107227264703
lead,0.1626746939663276
saying,0.16258134663262727
left,0.16160671410555832
community,0.1602135866690296
led,0.15895148856424438
future,0.1584921062588724
home,0.15482160812820417
announced,0.15457320433070199
taken,0.15432506700607443
british,0.15416977989942066
national,0.1529769413390025
incident,0.1527890893767852
police,0.1507289246100148
potential,0.1486841638224268
public,0.148566146285583
welcomed,0.14788086566585254
months,0.14627305713483296
remains,0.14626209652608937
action,0.1454448311514322
city,0.14420212584392478
000,0.14297118684145646
raised,0.14121619379578434
series,0.14106514484876248
continue,0.13985391647624348
widespread,0.1379427951495074
remain,0.13583509339026273
win,0.134079021949902
calling,0.13402044528540555
international,0.13351735939550285
role,0.12986638378669496
victory,0.1298044982661152
group,0.12939463776228602
forward,0.1286760704987148
match,0.12787310386818615
took,0.12784681415497637
looking,0.12618109022312712
way,0.12576852878362837
help,0.12518525297977698
social,0.1249996247484387
increase,0.12431407306688999
family,0.1237685002803282
confirmed,0.12372044233783545
greater,0.12369142801603937
season,0.12332453648293708
efforts,0.12315848072223516
ongoing,0.122786355919867
life,0.12228167343782187
making,0.12227517672118264
services,0.12210524581508234
called,0.12191780664939916
met,0.12119916682943409
latest,0.12117855190974619
