identifier,abs_difference,raw_difference,normalized_diff_old_mean,reason
45230,0.86,-0.86,0.09571762963419948,ttr_lemma_chunks_200
5929,0.785,-0.785,0.06299088807903509,ttr_lemma_chunks_200
42987,0.775,-0.775,0.07925661568107664,ttr_lemma_chunks_200
16846,0.77,-0.77,0.0869468898177653,ttr_lemma_chunks_200
17834,0.765,-0.765,0.07200168382313889,ttr_lemma_chunks_200
14277,0.765,-0.765,0.09954286800411898,ttr_lemma_chunks_200
33236,0.76,-0.76,0.06111698256846171,ttr_lemma_chunks_200
37191,0.76,-0.76,0.07244286980190143,ttr_lemma_chunks_200
10041,0.76,-0.76,0.07780407702303978,ttr_lemma_chunks_200
42426,0.755,-0.755,0.049470759131792816,ttr_lemma_chunks_200
16497,0.755,-0.755,0.08381400787606878,ttr_lemma_chunks_200
45321,0.755,-0.755,0.044964847724083615,ttr_lemma_chunks_200
51489,0.755,-0.755,0.03237819337111684,ttr_lemma_chunks_200
40121,0.75,-0.75,0.08663654188523047,ttr_lemma_chunks_200
6946,0.75,-0.75,0.06286251844244463,ttr_lemma_chunks_200
10514,0.745,-0.745,0.06623583540629532,ttr_lemma_chunks_200
13911,0.745,-0.745,0.07815236408705536,ttr_lemma_chunks_200
11382,0.745,-0.745,0.07545419238027493,ttr_lemma_chunks_200
2706,0.74,-0.74,0.05721779300262884,ttr_lemma_chunks_200
15679,0.735,-0.735,0.09484316431420836,ttr_lemma_chunks_200
26248,0.735,-0.735,0.0823694663648492,ttr_lemma_chunks_200
1765,0.725,-0.725,0.08249294668459269,ttr_lemma_chunks_200
39914,0.725,-0.725,0.0744113929544502,ttr_lemma_chunks_200
32629,0.72,-0.72,0.07197943963679757,ttr_lemma_chunks_200
28475,0.72,-0.72,0.053035155932511055,ttr_lemma_chunks_200
1957,0.72,-0.72,0.07896815662687592,ttr_lemma_chunks_200
6275,0.72,-0.72,0.05314597511596079,ttr_lemma_chunks_200
483,0.72,-0.72,0.02959595395751986,ttr_lemma_chunks_200
4186,0.715,-0.715,0.04748729686316493,ttr_lemma_chunks_200
36937,0.715,-0.715,0.045837402501510055,ttr_lemma_chunks_200
18223,0.715,-0.715,0.04991470591822407,ttr_lemma_chunks_200
4123,0.715,-0.715,0.053587020308955034,ttr_lemma_chunks_200
51283,0.71,-0.71,0.071122001369839,ttr_lemma_chunks_200
35528,0.71,-0.71,0.0829724600826283,ttr_lemma_chunks_200
39745,0.71,-0.71,0.08070063656448588,ttr_lemma_chunks_200
26678,0.71,-0.71,0.08609938012528988,ttr_lemma_chunks_200
49656,0.705,-0.705,0.08787127690607983,ttr_lemma_chunks_200
2653,0.705,-0.705,0.058900096036404816,ttr_lemma_chunks_200
1803,0.705,-0.705,0.08036055363885083,ttr_lemma_chunks_200
10787,0.705,-0.705,0.07494347165332663,ttr_lemma_chunks_200
46431,0.705,-0.705,0.1052132305801988,ttr_lemma_chunks_200
49539,0.7,-0.7,0.08913417213214973,ttr_lemma_chunks_200
10880,0.7,-0.7,0.0381852716918395,ttr_lemma_chunks_200
7075,0.7,-0.7,0.0405794790440182,ttr_lemma_chunks_200
7671,0.7,-0.7,0.07289462661436741,ttr_lemma_chunks_200
27858,0.7,-0.7,0.04379982557154231,ttr_lemma_chunks_200
22927,0.7,-0.7,0.09755215293916024,ttr_lemma_chunks_200
23474,0.7,-0.7,0.05002472908622339,ttr_lemma_chunks_200
40011,0.695,-0.695,0.06819650025120219,ttr_lemma_chunks_200
28193,0.695,-0.695,0.055588984328546566,ttr_lemma_chunks_200
14581,0.695,-0.695,0.06821947322326673,ttr_lemma_chunks_200
7426,0.695,-0.695,0.04698938978693139,ttr_lemma_chunks_200
24906,0.695,-0.695,0.06215485077735076,ttr_lemma_chunks_200
51290,0.695,-0.695,0.09854827142379052,ttr_lemma_chunks_200
43439,0.695,-0.695,0.06875857487231399,ttr_lemma_chunks_200
46432,0.69,-0.69,0.0453097272935764,ttr_lemma_chunks_200
16045,0.69,-0.69,0.08046334445399264,ttr_lemma_chunks_200
48332,0.69,-0.69,0.07022119736455229,ttr_lemma_chunks_200
43478,0.69,-0.69,0.05242094528996333,ttr_lemma_chunks_200
18913,0.69,-0.69,0.06077656981149918,ttr_lemma_chunks_200
9030,0.69,-0.69,0.050080225205749354,ttr_lemma_chunks_200
18967,0.69,-0.69,0.07096153478905112,ttr_lemma_chunks_200
48533,0.69,-0.69,0.07909426268606902,ttr_lemma_chunks_200
39475,0.685,-0.685,0.06311752554978592,ttr_lemma_chunks_200
40203,0.685,-0.685,0.06362631924497357,ttr_lemma_chunks_200
11868,0.685,-0.685,0.07263250711459346,ttr_lemma_chunks_200
27953,0.685,-0.685,0.08049856369032925,ttr_lemma_chunks_200
46037,0.685,-0.685,0.05204454250737509,ttr_lemma_chunks_200
40704,0.68,-0.68,0.06049266748229583,ttr_lemma_chunks_200
24567,0.68,-0.68,0.061060684165802126,ttr_lemma_chunks_200
21611,0.68,-0.68,0.05696116562842972,ttr_lemma_chunks_200
41583,0.68,-0.68,0.09367228375817274,ttr_lemma_chunks_200
7743,0.68,-0.68,0.052382883768439095,ttr_lemma_chunks_200
38782,0.68,-0.68,0.06341873652937115,ttr_lemma_chunks_200
36463,0.68,-0.68,0.04046482905232619,ttr_lemma_chunks_200
45936,0.68,-0.68,0.028539764346739445,ttr_lemma_chunks_200
14618,0.68,-0.68,0.051168475658528854,ttr_lemma_chunks_200
1836,0.68,-0.68,0.06173491826934974,ttr_lemma_chunks_200
29521,0.68,-0.68,0.061737569460389594,ttr_lemma_chunks_200
17793,0.68,-0.68,0.03384781356584223,ttr_lemma_chunks_200
7911,0.675,-0.675,0.0701802619878808,ttr_lemma_chunks_200
14524,0.675,-0.675,0.08892956916132344,ttr_lemma_chunks_200
42589,0.675,-0.675,0.08284657659514498,ttr_lemma_chunks_200
31309,0.675,-0.675,0.04002277529237225,ttr_lemma_chunks_200
20226,0.675,-0.675,0.07771048692750929,ttr_lemma_chunks_200
46813,0.675,-0.675,0.09124626925043823,ttr_lemma_chunks_200
10622,0.675,-0.675,0.083939159505548,ttr_lemma_chunks_200
43040,0.675,-0.675,0.07303382597605831,ttr_lemma_chunks_200
39055,0.675,-0.675,0.08867064331570808,ttr_lemma_chunks_200
43020,0.67,-0.67,0.06018910262076606,ttr_lemma_chunks_200
33730,0.67,-0.67,0.04235662589017457,ttr_lemma_chunks_200
28106,0.67,-0.67,0.04627501133637331,ttr_lemma_chunks_200
3461,0.67,-0.67,0.07606045908597657,ttr_lemma_chunks_200
19724,0.67,-0.67,0.08728689042972808,ttr_lemma_chunks_200
42617,0.67,-0.67,0.052770316585912025,ttr_lemma_chunks_200
29230,0.67,-0.67,0.05120745675799622,ttr_lemma_chunks_200
6084,0.67,-0.67,0.07636358626455092,ttr_lemma_chunks_200
14997,0.67,-0.67,0.0447108525250555,ttr_lemma_chunks_200
17471,0.67,-0.67,0.06681332068066236,ttr_lemma_chunks_200
31517,0.67,-0.67,0.044371790109620356,ttr_lemma_chunks_200
26365,0.67,-0.67,0.06374182939821596,ttr_lemma_chunks_200
3928,0.67,-0.67,0.0541237767784179,ttr_lemma_chunks_200
7897,0.67,-0.67,0.0749021449745914,ttr_lemma_chunks_200
18738,0.67,-0.67,0.08324841103877964,ttr_lemma_chunks_200
15567,0.67,-0.67,0.05061902605873965,ttr_lemma_chunks_200
17065,0.67,-0.67,0.06514277878506151,ttr_lemma_chunks_200
19094,0.67,-0.67,0.056161456116297456,ttr_lemma_chunks_200
49627,0.67,-0.67,0.06969142708579654,ttr_lemma_chunks_200
28123,0.665,-0.665,0.04912222025550846,ttr_lemma_chunks_200
14113,0.665,-0.665,0.08322243573855967,ttr_lemma_chunks_200
48177,0.665,-0.665,0.058199902395353054,ttr_lemma_chunks_200
15615,0.665,-0.665,0.08807916845931406,ttr_lemma_chunks_200
39279,0.665,-0.665,0.04167775004230227,ttr_lemma_chunks_200
44214,0.665,-0.665,0.059272300113888246,ttr_lemma_chunks_200
12877,0.665,-0.665,0.0664815582388371,ttr_lemma_chunks_200
14016,0.665,-0.665,0.07029576307946313,ttr_lemma_chunks_200
43692,0.66,-0.66,0.05549273209248599,ttr_lemma_chunks_200
43475,0.66,-0.66,0.0726821065772894,ttr_lemma_chunks_200
25820,0.66,-0.66,0.0668072829927924,ttr_lemma_chunks_200
131,0.66,-0.66,0.06964580645829219,ttr_lemma_chunks_200
37358,0.66,-0.66,0.05493912588087392,ttr_lemma_chunks_200
38047,0.66,-0.66,0.08140004713498517,ttr_lemma_chunks_200
6862,0.66,-0.66,0.09905287523335772,ttr_lemma_chunks_200
20741,0.66,-0.66,0.09356791664299374,ttr_lemma_chunks_200
41023,0.655,-0.655,0.09532382547756113,ttr_lemma_chunks_200
11180,0.655,-0.655,0.03388844646586276,ttr_lemma_chunks_200
2883,0.655,-0.655,0.07260111577066634,ttr_lemma_chunks_200
10557,0.655,-0.655,0.04002171073738636,ttr_lemma_chunks_200
50455,0.655,-0.655,0.07698738676469001,ttr_lemma_chunks_200
32289,0.655,-0.655,0.07029185519314549,ttr_lemma_chunks_200
42090,0.655,-0.655,0.0633036263331567,ttr_lemma_chunks_200
6336,0.655,-0.655,0.07076397341087967,ttr_lemma_chunks_200
37348,0.655,-0.655,0.06181510634194033,ttr_lemma_chunks_200
46561,0.655,-0.655,0.06807500914957024,ttr_lemma_chunks_200
43977,0.655,-0.655,0.046276911020607756,ttr_lemma_chunks_200
11844,0.655,-0.655,0.0888535800458536,ttr_lemma_chunks_200
322,0.655,-0.655,0.06191165993150123,ttr_lemma_chunks_200
41975,0.655,-0.655,0.06814345493026303,ttr_lemma_chunks_200
21374,0.655,-0.655,0.05155274216047635,ttr_lemma_chunks_200
11062,0.655,-0.655,0.05378273630869904,ttr_lemma_chunks_200
40919,0.655,-0.655,0.07897849086429912,ttr_lemma_chunks_200
79,0.65,-0.65,0.05425499396981648,ttr_lemma_chunks_200
21178,0.65,-0.65,0.04149823118251707,ttr_lemma_chunks_200
