identifier,abs_difference,raw_difference,reason
41986,248.0,-248.0,n_tokens
9923,234.0,-234.0,n_tokens
44088,216.0,-216.0,n_tokens
14488,215.0,-215.0,n_tokens
9259,214.0,-214.0,n_tokens
24419,209.0,-209.0,n_tokens
44139,207.0,-207.0,n_tokens
45360,206.0,-206.0,n_tokens
12982,206.0,-206.0,n_tokens
43769,206.0,-206.0,n_tokens
10700,202.0,-202.0,n_tokens
37783,198.0,-198.0,n_tokens
10285,195.0,-195.0,n_tokens
25897,192.0,-192.0,n_tokens
45241,192.0,-192.0,n_tokens
19048,189.0,-189.0,n_tokens
49631,189.0,-189.0,n_tokens
33329,188.0,-188.0,n_tokens
47189,187.0,-187.0,n_tokens
37320,186.0,-186.0,n_tokens
35927,184.0,-184.0,n_tokens
49049,183.0,-183.0,n_tokens
8942,182.0,-182.0,n_tokens
36312,182.0,-182.0,n_tokens
36171,181.0,-181.0,n_tokens
2892,181.0,-181.0,n_tokens
6227,181.0,-181.0,n_tokens
35932,180.0,-180.0,n_tokens
50015,180.0,-180.0,n_tokens
8727,180.0,-180.0,n_tokens
49001,180.0,-180.0,n_tokens
1278,180.0,-180.0,n_tokens
26831,180.0,-180.0,n_tokens
49896,179.0,-179.0,n_tokens
17246,179.0,-179.0,n_tokens
42810,178.0,-178.0,n_tokens
5200,178.0,-178.0,n_tokens
23447,176.0,-176.0,n_tokens
41166,176.0,-176.0,n_tokens
1248,175.0,-175.0,n_tokens
8463,175.0,-175.0,n_tokens
46849,174.0,-174.0,n_tokens
8353,174.0,-174.0,n_tokens
494,174.0,-174.0,n_tokens
51359,173.0,-173.0,n_tokens
26919,173.0,-173.0,n_tokens
35909,173.0,-173.0,n_tokens
34603,172.0,-172.0,n_tokens
5441,172.0,-172.0,n_tokens
27034,171.0,-171.0,n_tokens
12209,171.0,-171.0,n_tokens
46276,171.0,-171.0,n_tokens
41444,171.0,-171.0,n_tokens
50538,171.0,-171.0,n_tokens
36401,171.0,-171.0,n_tokens
19824,171.0,-171.0,n_tokens
18395,170.0,-170.0,n_tokens
9169,170.0,-170.0,n_tokens
46205,169.0,-169.0,n_tokens
7567,169.0,-169.0,n_tokens
9200,168.0,-168.0,n_tokens
42039,168.0,-168.0,n_tokens
27736,168.0,-168.0,n_tokens
3803,168.0,-168.0,n_tokens
50611,167.0,-167.0,n_tokens
2471,167.0,-167.0,n_tokens
35704,167.0,-167.0,n_tokens
43599,167.0,-167.0,n_tokens
49831,166.0,-166.0,n_tokens
38404,166.0,-166.0,n_tokens
29618,165.0,-165.0,n_tokens
26341,165.0,-165.0,n_tokens
44437,165.0,-165.0,n_tokens
19127,164.0,-164.0,n_tokens
19083,164.0,-164.0,n_tokens
31432,164.0,-164.0,n_tokens
41181,164.0,-164.0,n_tokens
19184,164.0,-164.0,n_tokens
48993,164.0,-164.0,n_tokens
45209,164.0,-164.0,n_tokens
21486,164.0,-164.0,n_tokens
35982,163.0,-163.0,n_tokens
23636,163.0,-163.0,n_tokens
20170,163.0,-163.0,n_tokens
35739,163.0,-163.0,n_tokens
45807,163.0,-163.0,n_tokens
50948,163.0,-163.0,n_tokens
1194,162.0,-162.0,n_tokens
34226,162.0,-162.0,n_tokens
8595,162.0,-162.0,n_tokens
48937,161.0,-161.0,n_tokens
26955,161.0,-161.0,n_tokens
49448,161.0,-161.0,n_tokens
18474,161.0,-161.0,n_tokens
51360,161.0,-161.0,n_tokens
42474,161.0,-161.0,n_tokens
27005,161.0,-161.0,n_tokens
49062,160.0,-160.0,n_tokens
29930,160.0,-160.0,n_tokens
38571,160.0,-160.0,n_tokens
30090,160.0,-160.0,n_tokens
32891,160.0,-160.0,n_tokens
