identifier,abs_difference,raw_difference,reason
35619609,0.785,0.785,ttr_form_chunks_200
30822352,0.785,0.785,ttr_form_chunks_200
37667207,0.77,0.77,ttr_form_chunks_200
38881291,0.77,0.77,ttr_form_chunks_200
35994191,0.77,0.77,ttr_form_chunks_200
39809700,0.765,0.765,ttr_form_chunks_200
36779864,0.765,0.765,ttr_form_chunks_200
36125936,0.765,0.765,ttr_form_chunks_200
40218421,0.76,0.76,ttr_form_chunks_200
25051786,0.76,0.76,ttr_form_chunks_200
35379139,0.76,0.76,ttr_form_chunks_200
39390582,0.76,0.76,ttr_form_chunks_200
35777948,0.76,0.76,ttr_form_chunks_200
14875297,0.76,0.76,ttr_form_chunks_200
35293745,0.76,0.76,ttr_form_chunks_200
40327324,0.76,0.76,ttr_form_chunks_200
39912022,0.76,0.76,ttr_form_chunks_200
28652638,0.76,0.76,ttr_form_chunks_200
39537967,0.76,0.76,ttr_form_chunks_200
37419762,0.76,0.76,ttr_form_chunks_200
36627969,0.755,0.755,ttr_form_chunks_200
38701020,0.755,0.755,ttr_form_chunks_200
39650480,0.755,0.755,ttr_form_chunks_200
22343549,0.755,0.755,ttr_form_chunks_200
27342793,0.755,0.755,ttr_form_chunks_200
38889885,0.755,0.755,ttr_form_chunks_200
34331604,0.755,0.755,ttr_form_chunks_200
21996629,0.755,0.755,ttr_form_chunks_200
35736684,0.755,0.755,ttr_form_chunks_200
39326024,0.75,0.75,ttr_form_chunks_200
36021406,0.75,0.75,ttr_form_chunks_200
35567790,0.75,0.75,ttr_form_chunks_200
35278872,0.75,-0.75,ttr_form_chunks_200
15814519,0.75,0.75,ttr_form_chunks_200
36267417,0.75,0.75,ttr_form_chunks_200
33379200,0.75,0.75,ttr_form_chunks_200
35211391,0.75,0.75,ttr_form_chunks_200
40739163,0.75,0.75,ttr_form_chunks_200
40176139,0.75,0.75,ttr_form_chunks_200
39279712,0.75,0.75,ttr_form_chunks_200
34569970,0.75,0.75,ttr_form_chunks_200
41011854,0.75,0.75,ttr_form_chunks_200
36381040,0.745,0.745,ttr_form_chunks_200
32260854,0.745,0.745,ttr_form_chunks_200
39463226,0.745,0.745,ttr_form_chunks_200
37191572,0.745,0.745,ttr_form_chunks_200
11587410,0.745,0.745,ttr_form_chunks_200
21195249,0.745,0.745,ttr_form_chunks_200
37331430,0.745,0.745,ttr_form_chunks_200
35618644,0.745,0.745,ttr_form_chunks_200
36994674,0.745,0.745,ttr_form_chunks_200
35893452,0.745,0.745,ttr_form_chunks_200
38701068,0.745,0.745,ttr_form_chunks_200
16914652,0.745,0.745,ttr_form_chunks_200
30993750,0.745,0.745,ttr_form_chunks_200
19702011,0.745,0.745,ttr_form_chunks_200
32233105,0.745,0.745,ttr_form_chunks_200
37017891,0.74,0.74,ttr_form_chunks_200
40073761,0.74,0.74,ttr_form_chunks_200
36312769,0.74,0.74,ttr_form_chunks_200
39681988,0.74,0.74,ttr_form_chunks_200
18008825,0.74,0.74,ttr_form_chunks_200
39389266,0.74,0.74,ttr_form_chunks_200
38228091,0.74,0.74,ttr_form_chunks_200
34830895,0.74,0.74,ttr_form_chunks_200
26986127,0.74,0.74,ttr_form_chunks_200
40911887,0.74,0.74,ttr_form_chunks_200
39676468,0.74,0.74,ttr_form_chunks_200
40471005,0.74,0.74,ttr_form_chunks_200
37910692,0.74,0.74,ttr_form_chunks_200
27354162,0.735,0.735,ttr_form_chunks_200
38960166,0.735,0.735,ttr_form_chunks_200
35547175,0.735,0.735,ttr_form_chunks_200
23603167,0.735,0.735,ttr_form_chunks_200
39470449,0.735,0.735,ttr_form_chunks_200
34859301,0.735,0.735,ttr_form_chunks_200
39464296,0.735,0.735,ttr_form_chunks_200
33958116,0.735,0.735,ttr_form_chunks_200
38454133,0.735,0.735,ttr_form_chunks_200
37738186,0.735,0.735,ttr_form_chunks_200
40225346,0.735,0.735,ttr_form_chunks_200
36838780,0.735,0.735,ttr_form_chunks_200
37896455,0.735,0.735,ttr_form_chunks_200
38897246,0.735,0.735,ttr_form_chunks_200
35397844,0.735,-0.735,ttr_form_chunks_200
39464042,0.735,0.735,ttr_form_chunks_200
33615038,0.735,0.735,ttr_form_chunks_200
24782729,0.735,0.735,ttr_form_chunks_200
21045428,0.735,0.735,ttr_form_chunks_200
38360856,0.735,0.735,ttr_form_chunks_200
35859418,0.735,0.735,ttr_form_chunks_200
37322179,0.735,0.735,ttr_form_chunks_200
35637794,0.735,0.735,ttr_form_chunks_200
36994036,0.735,0.735,ttr_form_chunks_200
26685154,0.735,0.735,ttr_form_chunks_200
39773471,0.735,0.735,ttr_form_chunks_200
37007723,0.73,0.73,ttr_form_chunks_200
29995184,0.73,0.73,ttr_form_chunks_200
26683763,0.73,0.73,ttr_form_chunks_200
36140389,0.73,0.73,ttr_form_chunks_200
34505898,0.73,-0.73,ttr_form_chunks_200
40417283,0.73,0.73,ttr_form_chunks_200
32089196,0.73,0.73,ttr_form_chunks_200
25056976,0.73,-0.73,ttr_form_chunks_200
38071342,0.73,0.73,ttr_form_chunks_200
38361046,0.73,0.73,ttr_form_chunks_200
36664947,0.73,0.73,ttr_form_chunks_200
37431805,0.73,0.73,ttr_form_chunks_200
37028002,0.73,0.73,ttr_form_chunks_200
35884471,0.73,0.73,ttr_form_chunks_200
19112800,0.73,0.73,ttr_form_chunks_200
35573578,0.73,0.73,ttr_form_chunks_200
39154495,0.73,0.73,ttr_form_chunks_200
36110382,0.73,0.73,ttr_form_chunks_200
37396548,0.73,0.73,ttr_form_chunks_200
30897016,0.73,0.73,ttr_form_chunks_200
40152548,0.73,0.73,ttr_form_chunks_200
34537876,0.73,0.73,ttr_form_chunks_200
37246565,0.73,0.73,ttr_form_chunks_200
36680261,0.73,0.73,ttr_form_chunks_200
39095127,0.73,0.73,ttr_form_chunks_200
37498546,0.73,0.73,ttr_form_chunks_200
39012226,0.73,0.73,ttr_form_chunks_200
36400691,0.73,0.73,ttr_form_chunks_200
40258809,0.73,0.73,ttr_form_chunks_200
39536144,0.73,0.73,ttr_form_chunks_200
33693834,0.73,0.73,ttr_form_chunks_200
36872941,0.73,0.73,ttr_form_chunks_200
34824944,0.73,0.73,ttr_form_chunks_200
27005788,0.73,0.73,ttr_form_chunks_200
38827506,0.73,0.73,ttr_form_chunks_200
32603600,0.73,0.73,ttr_form_chunks_200
35591024,0.73,0.73,ttr_form_chunks_200
36930238,0.73,0.73,ttr_form_chunks_200
39797373,0.725,0.725,ttr_form_chunks_200
39390619,0.725,0.725,ttr_form_chunks_200
20320963,0.725,0.725,ttr_form_chunks_200
40619964,0.725,0.725,ttr_form_chunks_200
35144483,0.725,0.725,ttr_form_chunks_200
37077569,0.725,0.725,ttr_form_chunks_200
35521019,0.725,0.725,ttr_form_chunks_200
40870474,0.725,0.725,ttr_form_chunks_200
21279519,0.725,0.725,ttr_form_chunks_200
32821781,0.725,0.725,ttr_form_chunks_200
39803243,0.725,0.725,ttr_form_chunks_200
23094281,0.725,0.725,ttr_form_chunks_200
29216833,0.725,0.725,ttr_form_chunks_200
33316365,0.725,0.725,ttr_form_chunks_200
35330571,0.725,0.725,ttr_form_chunks_200
31905925,0.725,0.725,ttr_form_chunks_200
18313427,0.725,0.725,ttr_form_chunks_200
39866512,0.725,0.725,ttr_form_chunks_200
35444146,0.725,0.725,ttr_form_chunks_200
29475059,0.725,0.725,ttr_form_chunks_200
36248302,0.725,0.725,ttr_form_chunks_200
31645426,0.725,0.725,ttr_form_chunks_200
35368484,0.725,0.725,ttr_form_chunks_200
36063470,0.725,0.725,ttr_form_chunks_200
38983246,0.725,0.725,ttr_form_chunks_200
20016068,0.725,-0.725,ttr_form_chunks_200
38770426,0.725,0.725,ttr_form_chunks_200
39436997,0.725,0.725,ttr_form_chunks_200
32547474,0.725,0.725,ttr_form_chunks_200
33995748,0.725,0.725,ttr_form_chunks_200
34833655,0.725,0.725,ttr_form_chunks_200
36352352,0.725,0.725,ttr_form_chunks_200
38146258,0.725,0.725,ttr_form_chunks_200
32523448,0.725,-0.725,ttr_form_chunks_200
22499110,0.725,0.725,ttr_form_chunks_200
38755188,0.725,0.725,ttr_form_chunks_200
39390964,0.725,0.725,ttr_form_chunks_200
36058010,0.725,0.725,ttr_form_chunks_200
34672355,0.725,0.725,ttr_form_chunks_200
34565997,0.725,0.725,ttr_form_chunks_200
35597627,0.725,0.725,ttr_form_chunks_200
34089324,0.725,0.725,ttr_form_chunks_200
38272618,0.72,0.72,ttr_form_chunks_200
20527532,0.72,0.72,ttr_form_chunks_200
29930427,0.72,0.72,ttr_form_chunks_200
28612034,0.72,0.72,ttr_form_chunks_200
36314336,0.72,0.72,ttr_form_chunks_200
