Feature,Importance
ttr_form_chunks_100,-8.668553428258482
n_sentences,-7.391104131069639
tokens_per_sent,-3.909195904785952
ttr_form_chunks_200,-3.7760093039417195
lexical_density,-2.977060767930956
subj_post,-2.893400223874314
verbs_form_dist_Fin,-2.822764994093908
avg_token_per_clause,-2.2961928662757356
upos_dist_AUX,-2.247178945881447
upos_dist_PROPN,-2.0316304123263937
subordinate_proposition_dist,-1.8787678414887223
verbal_root_perc,-1.8447192991411199
upos_dist_NUM,-1.793785679251308
upos_dist_VERB,-1.6577639826823294
verbs_num_pers_dist_Sing+2,-1.6153872195920262
aux_form_dist_Fin,-1.075006688590541
upos_dist_ADP,-0.9777239782447932
principal_proposition_dist,-0.8867094488063558
aux_num_pers_dist_Plur+2,-0.8736966274549564
aux_num_pers_dist_Sing+,-0.7885336546888189
verbs_num_pers_dist_Plur+,-0.7822057769393682
aux_form_dist_Inf,-0.7762672981531958
aux_mood_dist_Ind,-0.69752378230688
obj_pre,-0.5557745004217498
aux_form_dist_Ger,-0.5485852609789355
aux_num_pers_dist_+3,-0.42412635666786747
verbs_mood_dist_Imp,-0.38282271917861005
upos_dist_CCONJ,-0.36946175324259456
aux_num_pers_dist_+,-0.36086787998451136
upos_dist_ADV,-0.35164950508046544
aux_num_pers_dist_Plur+,-0.33186802572828467
verbs_mood_dist_Ind,-0.2614879982481636
upos_dist_SYM,-0.2424228878554177
verbs_num_pers_dist_Sing+,-0.24144487780810486
aux_tense_dist_Pres,-0.20363032525017144
verbs_num_pers_dist_Plur+2,-0.08764510158749457
subordinate_post,-0.060700580383991766
aux_num_pers_dist_Sing+2,-0.058090438627609126
verbs_num_pers_dist_+,-0.002309346511124622
n_tokens,4.745822765528217
char_per_tok,4.572174892794706
ttr_lemma_chunks_200,3.4924684726460247
upos_dist_DET,2.996086671058595
verbs_form_dist_Ger,2.6729476444678255
upos_dist_PRON,2.657811800403501
ttr_lemma_chunks_100,2.567940204154728
upos_dist_PART,2.4539894504018127
verbs_tense_dist_Past,2.00709373751461
verbs_tense_dist_Pres,1.9482218746362638
upos_dist_ADJ,1.4798405048312178
upos_dist_NOUN,1.3980090469897972
verbs_num_pers_dist_+2,1.3158600655934123
subj_pre,1.3027820877982272
aux_num_pers_dist_Plur+1,1.2506270756908078
aux_num_pers_dist_Sing+3,1.189700204301461
upos_dist_PUNCT,0.9925303341636127
verbal_head_per_sent,0.9417950082771768
aux_num_pers_dist_Plur+3,0.8939004313046149
aux_num_pers_dist_Sing+1,0.8506855638416049
obj_post,0.7753428647357173
verbs_form_dist_Part,0.6975016258045363
aux_form_dist_Part,0.6740584759563312
verbs_num_pers_dist_Sing+1,0.6306324046950168
verbs_num_pers_dist_Plur+1,0.5217872637325234
verbs_num_pers_dist_+1,0.4168441962169585
aux_mood_dist_Imp,0.41531867300818265
subordinate_pre,0.4010294943503311
upos_dist_SCONJ,0.3326673844410421
upos_dist_INTJ,0.21098251954216382
verbs_num_pers_dist_+3,0.19386232484245036
verbs_form_dist_Inf,0.16323996434132704
verbs_num_pers_dist_Plur+3,0.15956013904092592
n_prepositional_chains,0.08140307596080915
verbs_num_pers_dist_Sing+3,0.017898427092512575
aux_tense_dist_Past,0.0036915642273815663
aux_num_pers_dist_+2,0.0001970400084523546
