Feature,Importance
max_links_len,-8.218612811180149
ttr_form_chunks_100,-7.425729245886393
ttr_form_chunks_200,-4.297216159580169
dep_dist_root,-4.28544112208146
upos_dist_PROPN,-4.048203129092089
upos_dist_ADP,-3.829474722562581
verbs_form_dist_Fin,-3.1616212901291667
avg_links_len,-2.8716827320534666
dep_dist_expl,-2.135437502849823
dep_dist_ccomp,-1.9925371236016156
dep_dist_obl:tmod,-1.8112472275355056
lexical_density,-1.8095093908222992
avg_max_depth,-1.7262410465861517
dep_dist_nsubj:outer,-1.5589138703870784
dep_dist_det:predet,-1.5042453028017104
avg_subordinate_chain_len,-1.4828803262116157
dep_dist_aux:pass,-1.4807150808815464
dep_dist_advmod,-1.4119637677052765
dep_dist_flat,-1.3606930038179696
verb_edges_dist_2,-1.3005001136295056
obj_pre,-1.1766305222115334
subordinate_post,-1.1496156053465933
dep_dist_nmod:npmod,-1.0975688016805432
dep_dist_conj,-1.09455605615719
verbs_form_dist_Inf,-1.0904151519028569
verb_edges_dist_3,-1.0468540250445366
n_sentences,-1.0019125186943647
upos_dist_DET,-0.9859641432232314
upos_dist_PART,-0.9598937905228021
verb_edges_dist_0,-0.9503113378753547
dep_dist_iobj,-0.9418533487487585
dep_dist_cc:preconj,-0.9241514713501053
verb_edges_dist_6,-0.8918693000869432
verb_edges_dist_5,-0.887959308363729
dep_dist_compound,-0.8226754639534455
dep_dist_dislocated,-0.80832464549269
dep_dist_acl,-0.7974472850029604
dep_dist_parataxis,-0.7965015097933773
upos_dist_AUX,-0.7935835208944803
verbs_num_pers_dist_Sing+2,-0.7890642649058704
dep_dist_advcl:relcl,-0.7730013700605092
upos_dist_NUM,-0.7419119797572126
dep_dist_cop,-0.7355959450153801
upos_dist_VERB,-0.7226757754818642
verb_edges_dist_4,-0.7154633793727938
verbal_root_perc,-0.7045641617261764
dep_dist_obj,-0.6414633667198002
subordinate_dist_5,-0.6158366179976742
principal_proposition_dist,-0.5980218295396087
upos_dist_PRON,-0.5957090022143543
prep_dist_5,-0.5533134735059844
aux_mood_dist_Ind,-0.500987982808693
subj_post,-0.48331705714553097
aux_num_pers_dist_Sing+,-0.46917504880336874
subordinate_dist_4,-0.4681892380414459
subordinate_dist_3,-0.45156556951106147
subordinate_pre,-0.44043539041645374
aux_num_pers_dist_+,-0.41515622720475015
verbs_num_pers_dist_+3,-0.4114480385528487
subordinate_dist_1,-0.39929409196822774
aux_num_pers_dist_Plur+2,-0.3839929434411582
dep_dist_reparandum,-0.3828257754638527
dep_dist_csubj:outer,-0.37422103290280667
dep_dist_fixed,-0.3398091765959305
verbs_mood_dist_Ind,-0.3279814792234597
dep_dist_obl:npmod,-0.3253581086072381
dep_dist_advcl,-0.3191139958442042
dep_dist_compound:prt,-0.31109681451295934
aux_num_pers_dist_+3,-0.2910261150561664
avg_max_links_len,-0.2850789386637802
dep_dist_nummod,-0.2831420435636298
avg_prepositional_chain_len,-0.2708112427511065
verbs_num_pers_dist_Plur+,-0.26490204798570693
dep_dist_csubj,-0.24917742583362743
verbs_num_pers_dist_+2,-0.24441147404206928
prep_dist_3,-0.18864667768850402
prep_dist_2,-0.16038478088657526
dep_dist_vocative,-0.15053415671592482
verbs_num_pers_dist_Sing+3,-0.14758280929924938
prep_dist_4,-0.14627619357732272
verbs_num_pers_dist_Sing+,-0.1414439968190408
dep_dist_cc,-0.12456065878084438
n_prepositional_chains,-0.11640944998853688
dep_dist_nmod:tmod,-0.10454094856956997
aux_form_dist_Fin,-0.09147328984920432
subordinate_dist_2,-0.08123736129989051
verbs_num_pers_dist_+,-0.07488679650044563
aux_tense_dist_Pres,-0.06890413800468674
aux_tense_dist_Past,-0.06537408025286791
dep_dist_nmod:desc,-0.06370377211729616
aux_num_pers_dist_Sing+2,-0.02961363351550069
dep_dist_orphan,-0.02409205320045929
verbs_num_pers_dist_+1,-0.0002801809899870421
dep_dist_nmod:poss,6.9715345166789815
char_per_tok,5.525168007986814
ttr_lemma_chunks_200,4.181193089360389
dep_dist_det,3.912692239296723
upos_dist_X,3.293611573384413
dep_dist_case,2.514274541223368
tokens_per_sent,2.428750472106362
dep_dist_mark,2.2134679599936815
ttr_lemma_chunks_100,2.2093890426182106
n_tokens,2.0763060066014534
verbs_form_dist_Ger,2.0190124314381883
upos_dist_INTJ,1.9799254736785263
verbal_head_per_sent,1.9598093747290117
upos_dist_PUNCT,1.9119232839174274
