Feature,Importance
ttr_form_chunks_100,-8.60905887070518
ttr_form_chunks_200,-7.1038945036523335
n_sentences,-5.836188531278151
tokens_per_sent,-4.2188073808494595
upos_dist_PROPN,-3.9304531921084034
subj_post,-3.3634873987045637
verbs_form_dist_Fin,-2.9003863584529364
lexical_density,-2.7541861830928718
upos_dist_AUX,-2.726939823114367
upos_dist_VERB,-2.0628532760926306
upos_dist_NUM,-1.8120112622970979
principal_proposition_dist,-1.6212886840348382
upos_dist_ADP,-1.5126860756840288
subordinate_post,-1.2183723253624927
verbs_num_pers_dist_Sing+2,-1.161652546509417
subordinate_proposition_dist,-1.1331383650362574
avg_token_per_clause,-0.9146182708447874
verbs_form_dist_Inf,-0.9067059778043599
obj_pre,-0.903230661217596
upos_dist_CCONJ,-0.8846968424624527
subordinate_pre,-0.8698635147424806
verbal_root_perc,-0.8235298952676235
aux_num_pers_dist_Plur+2,-0.7727258496188807
verbs_mood_dist_Imp,-0.5796686285391246
aux_num_pers_dist_Sing+2,-0.5577461077895736
verbs_mood_dist_Ind,-0.4754452851970983
aux_mood_dist_Ind,-0.42741168370986077
aux_form_dist_Fin,-0.3925357167169817
verbs_num_pers_dist_Plur+,-0.3151676905020234
aux_num_pers_dist_Sing+,-0.26659002359920025
upos_dist_ADV,-0.2650765239985988
aux_tense_dist_Pres,-0.2467865497503962
aux_tense_dist_Past,-0.17934972422900414
aux_num_pers_dist_Plur+,-0.13698028987257377
verbs_num_pers_dist_Plur+1,-0.1329258265878062
verbs_num_pers_dist_Sing+,-0.13044842520946182
verbs_num_pers_dist_+3,-0.1000109647103634
aux_form_dist_Inf,-0.03346472319104279
aux_num_pers_dist_+,-0.013395502563782222
verbs_num_pers_dist_Sing+3,-0.0013681878380530088
aux_num_pers_dist_+2,-0.0003937822458821666
ttr_lemma_chunks_200,7.1014050590608715
char_per_tok,5.853858706952241
upos_dist_PART,5.331258024469304
ttr_lemma_chunks_100,3.5946743375977532
verbs_form_dist_Ger,3.170625557060079
upos_dist_DET,2.7948720427331684
upos_dist_PRON,2.685921116484187
n_tokens,2.1449980636931936
verbs_tense_dist_Past,2.0875121376488717
verbs_tense_dist_Pres,2.060252918562284
upos_dist_PUNCT,2.0023263408237906
upos_dist_ADJ,1.903681860762611
verbs_form_dist_Part,1.6653584626291709
upos_dist_NOUN,1.4359979493580934
obj_post,1.288976538746759
subj_pre,1.2505841347856632
aux_form_dist_Part,1.1227190238460136
dep_dist_flat:foreign,0.8296254756723933
verbal_head_per_sent,0.7624951333474097
aux_num_pers_dist_Plur+1,0.7178407660983975
aux_num_pers_dist_Sing+3,0.6712567600683762
verbs_num_pers_dist_Sing+1,0.6237130264633435
aux_form_dist_Ger,0.6236142879272836
upos_dist_SCONJ,0.5200028587017972
upos_dist_INTJ,0.47748518287468505
verbs_num_pers_dist_Plur+3,0.43342347975852175
aux_num_pers_dist_Plur+3,0.33324931679049474
verbs_num_pers_dist_+2,0.30387121287750674
verbs_num_pers_dist_+1,0.2998213514938962
upos_dist_SYM,0.2730958873756234
verbs_num_pers_dist_+,0.2241968757592706
aux_num_pers_dist_Sing+1,0.18921788070972828
n_prepositional_chains,0.16345983234141898
aux_num_pers_dist_+3,0.15219413762812758
aux_mood_dist_Imp,0.015531529906073822
verbs_num_pers_dist_Plur+2,0.0006043513175870321
