Feature,Importance
char_per_tok,0.5643578856240623
tokens_per_sent,0.16567429964770292
verbs_form_dist_Fin,0.11768490432704139
verbs_form_dist_Ger,0.07829518516239381
upos_dist_DET,0.03989118818404391
ttr_form_chunks_200,0.01973006881755362
aux_form_dist_Part,0.006876931556449946
upos_dist_NOUN,0.0029815941689898292
ttr_form_chunks_100,0.0024864165027469478
upos_dist_PROPN,0.0012226629394737063
aux_num_pers_dist_+,0.0007988630695416943
upos_dist_ADJ,0.0
aux_mood_dist_Imp,0.0
obj_post,0.0
upos_dist_INTJ,0.0
upos_dist_ADV,0.0
verbs_num_pers_dist_+1,0.0
verbs_form_dist_Part,0.0
upos_dist_PRON,0.0
verbs_tense_dist_Past,0.0
upos_dist_SYM,0.0
verbs_num_pers_dist_+3,0.0
verbs_num_pers_dist_Plur+2,0.0
n_sentences,0.0
aux_num_pers_dist_+3,0.0
dep_dist_flat:foreign,0.0
aux_form_dist_Ger,0.0
obj_pre,0.0
verbs_form_dist_Inf,0.0
subj_post,0.0
upos_dist_AUX,0.0
upos_dist_PART,0.0
subj_pre,0.0
verbs_num_pers_dist_Sing+1,0.0
aux_form_dist_Inf,0.0
verbs_tense_dist_Pres,0.0
verbal_root_perc,0.0
aux_num_pers_dist_Plur+2,0.0
subordinate_post,0.0
upos_dist_PUNCT,0.0
ttr_lemma_chunks_100,0.0
verbs_mood_dist_Ind,0.0
n_prepositional_chains,0.0
aux_num_pers_dist_Plur+,0.0
aux_num_pers_dist_Sing+1,0.0
subordinate_proposition_dist,0.0
n_tokens,0.0
verbs_num_pers_dist_+,0.0
avg_token_per_clause,0.0
aux_tense_dist_Past,0.0
principal_proposition_dist,0.0
lexical_density,0.0
verbs_num_pers_dist_Plur+,0.0
verbs_num_pers_dist_Plur+3,0.0
dep_dist_<PAD>,0.0
verbs_num_pers_dist_Sing+3,0.0
verbs_mood_dist_Imp,0.0
verbal_head_per_sent,0.0
upos_dist_CCONJ,0.0
upos_dist_VERB,0.0
aux_mood_dist_Ind,0.0
subordinate_pre,0.0
verbs_num_pers_dist_Sing+,0.0
verbs_num_pers_dist_+2,0.0
aux_num_pers_dist_Plur+3,0.0
aux_num_pers_dist_Sing+,0.0
aux_form_dist_Fin,0.0
aux_tense_dist_Pres,0.0
upos_dist_ADP,0.0
aux_num_pers_dist_Sing+3,0.0
ttr_lemma_chunks_200,0.0
upos_dist_SCONJ,0.0
aux_num_pers_dist_+2,0.0
aux_num_pers_dist_Sing+2,0.0
aux_num_pers_dist_Plur+1,0.0
verbs_num_pers_dist_Plur+1,0.0
verbs_num_pers_dist_Sing+2,0.0
upos_dist_NUM,0.0
