Feature,Importance
ttr_form_chunks_100,-9.221185230976992
max_links_len,-6.098242829912147
upos_dist_ADP,-5.274998980098747
dep_dist_parataxis,-4.792090546224548
ttr_form_chunks_200,-4.065898697392421
dep_dist_nmod:tmod,-3.231539887401158
verbs_form_dist_Fin,-3.070448830916702
avg_links_len,-2.717876222458109
upos_dist_DET,-2.6515331699778137
dep_dist_cc,-2.6287530835649
dep_dist_acl,-2.3420539614451403
dep_dist_nsubj:outer,-2.206305274823783
dep_dist_compound,-2.071573022249381
dep_dist_advcl,-2.055056431976623
dep_dist_det:predet,-2.0354008748771113
dep_dist_ccomp,-1.9924667275066732
dep_dist_dislocated,-1.9266958601459057
char_per_tok,-1.841511278827772
verb_edges_dist_0,-1.8271523499298232
verb_edges_dist_6,-1.7903597782892975
obj_pre,-1.7128712656949274
avg_max_links_len,-1.689971629031375
dep_dist_obl:npmod,-1.6894147064013922
verbs_mood_dist_Imp,-1.6569229821348055
verbs_form_dist_Inf,-1.5827012090814903
dep_dist_expl,-1.5545193186596011
upos_dist_PART,-1.4623657496834765
subj_post,-1.4190165980875398
dep_dist_discourse,-1.402411906358294
verbs_num_pers_dist_Sing+,-1.347372056220302
dep_dist_flat,-1.339513017622838
subordinate_proposition_dist,-1.3342935689056876
dep_dist_iobj,-1.3230712239118998
verbs_num_pers_dist_Plur+,-1.3115480788992133
dep_dist_nummod,-1.299789494433598
dep_dist_vocative,-1.1921349354217434
dep_dist_csubj:outer,-1.1718927172043052
dep_dist_obl:tmod,-1.1167170700235372
dep_dist_cc:preconj,-1.1128738929800643
verb_edges_dist_2,-1.0959952624712097
prep_dist_4,-1.0380312492076698
prep_dist_3,-1.0239694440107834
dep_dist_amod,-1.0025448223316658
verbs_form_dist_Part,-0.96267464549209
verb_edges_dist_5,-0.9242021655291364
lexical_density,-0.9164336553520949
verbs_num_pers_dist_Plur+2,-0.9040387768307834
dep_dist_root,-0.8949931038393049
aux_num_pers_dist_+,-0.8806618850168549
prep_dist_2,-0.8670772883939113
prep_dist_1,-0.8519502843134641
dep_dist_advmod,-0.8408166376918305
dep_dist_csubj,-0.8190084809772232
aux_form_dist_Inf,-0.7510956281913543
verb_edges_dist_3,-0.7382705296644444
dep_dist_nmod:npmod,-0.6598393697078382
verbs_mood_dist_Ind,-0.6445317036458387
verbs_num_pers_dist_Sing+2,-0.6298370228110757
verb_edges_dist_1,-0.6285450852037009
aux_mood_dist_Ind,-0.6127822713849055
dep_dist_xcomp,-0.6080180316053838
upos_dist_PUNCT,-0.6065746124294378
upos_dist_CCONJ,-0.4874779424848602
upos_dist_SYM,-0.451071743461068
dep_dist_aux:pass,-0.44653071797644905
avg_max_depth,-0.44487007743855506
dep_dist_fixed,-0.42579027718419116
upos_dist_SCONJ,-0.4151437934967141
verb_edges_dist_4,-0.4127164386013131
dep_dist_punct,-0.38239355453763085
dep_dist_advcl:relcl,-0.34348742185556813
verbs_num_pers_dist_+,-0.32806624059625855
upos_dist_PROPN,-0.280742939828045
subordinate_dist_5,-0.26546339945646485
dep_dist_nmod,-0.23700206555060754
verbs_num_pers_dist_Sing+3,-0.16884784196090313
subordinate_dist_4,-0.16719045585747608
dep_dist_nmod:desc,-0.1257692132697374
verbs_num_pers_dist_Plur+3,-0.07134426639131086
aux_tense_dist_Pres,-0.06936261526135526
aux_num_pers_dist_Sing+,-0.06636465425999707
dep_dist_obj,-0.06453214262898896
verbs_num_pers_dist_+3,-0.05736491348421814
dep_dist_dep,-0.05665015911088869
obj_post,-0.0546884457734874
upos_dist_AUX,-0.05410484282293834
prep_dist_5,-0.01085535685455958
aux_num_pers_dist_+2,-1.954239640877617e-05
dep_dist_det,6.300025887757309
tokens_per_sent,5.913466055078557
dep_dist_mark,5.537382578495158
dep_dist_conj,4.9052518421591325
dep_dist_case,4.86439671298961
upos_dist_X,3.8814302660729654
verbal_head_per_sent,3.7811448241539525
ttr_lemma_chunks_200,3.6547180898760745
n_tokens,2.831834206865966
dep_dist_nmod:poss,2.7373143690285624
upos_dist_ADJ,2.479683863738885
dep_dist_flat:foreign,2.2135334922700505
dep_dist_obl:agent,2.0209275468063943
ttr_lemma_chunks_100,1.901024228680447
avg_token_per_clause,1.8604451554379124
upos_dist_NOUN,1.8354560849402495
avg_prepositional_chain_len,1.7663274082060998
verbs_num_pers_dist_+2,1.6644111935423707
dep_dist_cop,1.6081480145933529
upos_dist_INTJ,1.5547535537074226
dep_dist_acl:relcl,1.5480453637689218
dep_dist_aux,1.4854688781266245
n_sentences,1.471759281164287
aux_num_pers_dist_Plur+1,1.4434013507738912
verbs_tense_dist_Past,1.4170177301732807
dep_dist_nsubj,1.4011312887474587
verbs_tense_dist_Pres,1.1318171258724676
upos_dist_NUM,1.0183767377391333
principal_proposition_dist,0.990952335966114
dep_dist_goeswith,0.9649782650441798
aux_mood_dist_Imp,0.8976113461731942
subordinate_dist_1,0.7861710821675909
subj_pre,0.7426366039423585
dep_dist_reparandum,0.741370589672043
verbs_num_pers_dist_Plur+1,0.6698585044642844
verbs_form_dist_Ger,0.6456197641006571
avg_subordinate_chain_len,0.5969025317948606
dep_dist_appos,0.5917057625205953
subordinate_dist_2,0.5909556468158302
aux_num_pers_dist_Sing+1,0.5670454268109866
aux_form_dist_Part,0.5593968201744003
n_prepositional_chains,0.5115139727974974
avg_verb_edges,0.49523498823721257
dep_dist_list,0.48766086443790846
upos_dist_ADV,0.435159055356994
subordinate_post,0.4342524948110091
aux_num_pers_dist_Plur+3,0.42869360089701214
aux_form_dist_Ger,0.4264078343727809
subordinate_pre,0.4228303814669348
aux_num_pers_dist_Sing+3,0.39633460299815043
verbs_num_pers_dist_+1,0.33669333153061537
dep_dist_compound:prt,0.29466620651410774
verbs_num_pers_dist_Sing+1,0.2754556201093922
dep_dist_nsubj:pass,0.2574827718382066
dep_dist_orphan,0.24998640799446536
upos_dist_VERB,0.24448043389954371
subordinate_dist_3,0.22351474814710678
aux_num_pers_dist_Sing+2,0.1576355574657157
dep_dist_csubj:pass,0.10349012067034175
aux_num_pers_dist_+3,0.09587710824564083
dep_dist_obl,0.07776452754600569
aux_tense_dist_Past,0.0550011144164641
verbal_root_perc,0.016175905814806518
aux_form_dist_Fin,0.011722499669348683
upos_dist_PRON,0.00044459151866218377
aux_num_pers_dist_Plur+,0.0004433134024615455
aux_num_pers_dist_Plur+2,0.000233921018519574
