Feature,Importance
ttr_form_chunks_100,-10.263135239660775
ttr_form_chunks_200,-6.898582229823878
subj_post,-4.290747672238261
verbs_form_dist_Fin,-2.729090784353354
verbs_mood_dist_Imp,-2.3592986211677744
upos_dist_PUNCT,-2.3429788868447345
lexical_density,-2.33791167166774
subordinate_proposition_dist,-2.3353867883179245
upos_dist_ADP,-2.1867201081548684
tokens_per_sent,-1.953769081032684
upos_dist_VERB,-1.5649894832313145
obj_pre,-1.2502124319085288
verbs_num_pers_dist_Sing+2,-1.1265370288018477
verbs_num_pers_dist_Plur+,-1.1063072339481155
upos_dist_CCONJ,-1.0608503506514229
aux_num_pers_dist_+,-1.0320605711821331
char_per_tok,-1.027006865260073
aux_num_pers_dist_Sing+,-0.8541311749586484
verbs_num_pers_dist_Sing+,-0.8364982329967883
upos_dist_SYM,-0.792584446250474
verbs_mood_dist_Ind,-0.783871362645515
aux_mood_dist_Ind,-0.7063954638869661
verbs_form_dist_Part,-0.6906940588963315
verbs_form_dist_Inf,-0.6696210209144817
upos_dist_ADV,-0.5712011578759136
upos_dist_INTJ,-0.5306357391369958
verbs_num_pers_dist_Plur+2,-0.4808506637689374
upos_dist_PROPN,-0.46790394829816107
aux_num_pers_dist_Sing+2,-0.4370292813122392
aux_form_dist_Inf,-0.4264004038747267
aux_tense_dist_Pres,-0.335135328435183
upos_dist_NUM,-0.2862137168970694
aux_tense_dist_Past,-0.26505128406153977
verbs_num_pers_dist_Sing+1,-0.17475138760799952
verbs_num_pers_dist_+,-0.09761914303089086
aux_form_dist_Fin,-0.06515463537655607
principal_proposition_dist,-0.046630424592963696
aux_form_dist_Ger,-0.027805918779352838
obj_post,-0.0031007005245702298
aux_num_pers_dist_Plur+,-0.0006082206202217564
ttr_lemma_chunks_200,6.52564574833361
upos_dist_DET,3.501489758513026
verbal_head_per_sent,3.1973543060716896
upos_dist_PART,2.9420309041295485
n_tokens,2.8791039452424525
ttr_lemma_chunks_100,2.4527995824608473
verbs_num_pers_dist_+2,1.860104918771713
upos_dist_ADJ,1.6936449563033684
dep_dist_flat:foreign,1.6255377308299994
avg_token_per_clause,1.6208878139543823
upos_dist_NOUN,1.5813911025028597
upos_dist_PRON,1.560138490908444
upos_dist_SCONJ,1.4093949341123244
aux_num_pers_dist_Plur+1,1.2231334881049396
verbs_tense_dist_Past,0.9316108128528245
upos_dist_AUX,0.8703456024057078
subj_pre,0.863092512230917
verbs_tense_dist_Pres,0.7991570718630923
verbs_num_pers_dist_Plur+1,0.7848320174715817
aux_form_dist_Part,0.7536404337541887
aux_num_pers_dist_Plur+3,0.6928060006349435
aux_num_pers_dist_Sing+3,0.5983684932126551
n_prepositional_chains,0.5920300110180567
subordinate_post,0.5459979701853889
n_sentences,0.4884396110044898
verbal_root_perc,0.429762940119412
verbs_num_pers_dist_+3,0.38208821536699206
verbs_form_dist_Ger,0.3781390527121444
aux_num_pers_dist_Sing+1,0.3639342823982564
subordinate_pre,0.33526626863734144
verbs_num_pers_dist_+1,0.329000195461278
verbs_num_pers_dist_Plur+3,0.3192730301348873
aux_num_pers_dist_+3,0.2542519154459494
verbs_num_pers_dist_Sing+3,0.19765474874201003
aux_mood_dist_Imp,0.15936925724257384
aux_num_pers_dist_+2,0.0001046557526431384
aux_num_pers_dist_Plur+2,3.0106957253079586e-07
