Feature,Importance
n_sentences,-9.372494102571178
char_per_tok,-8.391662584250092
ttr_form_chunks_100,-7.871686289472656
dep_dist_fixed,-5.034729811106502
dep_dist_obl:tmod,-5.004332038813813
dep_dist_det:predet,-4.334100427524178
dep_dist_advcl,-4.31679077573524
upos_dist_PROPN,-4.235020007520309
dep_dist_acl,-3.7416548928749767
dep_dist_ccomp,-3.392668631417271
dep_dist_expl,-3.2867618673465815
dep_dist_obl,-3.2549866897092206
max_links_len,-2.889416008086564
dep_dist_aux:pass,-2.855582258872932
dep_dist_nsubj:outer,-2.737665860852009
upos_dist_NUM,-2.312693685049619
verbs_form_dist_Fin,-2.2351339713353777
dep_dist_obj,-2.0654939844658924
upos_dist_VERB,-2.0522733892113743
avg_max_links_len,-1.9984048975232236
dep_dist_advmod,-1.9252932840939478
dep_dist_xcomp,-1.804531769770802
subordinate_pre,-1.6162912055697372
dep_dist_nummod,-1.6111518071628126
dep_dist_cop,-1.6082802636555387
dep_dist_nsubj:pass,-1.486470310923414
ttr_form_chunks_200,-1.4455894555821114
dep_dist_compound:prt,-1.3636866309369189
dep_dist_nmod:tmod,-1.280576739771894
subordinate_post,-1.2791914751240034
obj_pre,-1.2528460127731216
dep_dist_nmod,-1.2336328393061298
dep_dist_advcl:relcl,-1.2089423211961319
upos_dist_SYM,-1.2088967395413945
verbs_mood_dist_Imp,-1.206050895212457
dep_dist_iobj,-1.194798820531697
dep_dist_csubj,-1.1637572631200108
dep_dist_root,-1.137118885911748
dep_dist_obl:agent,-1.0980815987239285
aux_form_dist_Fin,-1.0312539359903892
dep_dist_cc:preconj,-1.0176441198454036
upos_dist_X,-1.0156126515018673
aux_form_dist_Inf,-0.9440374764227498
upos_dist_ADP,-0.9021359011971016
dep_dist_nmod:npmod,-0.9001187483377705
subordinate_dist_5,-0.8855615629032796
verb_edges_dist_6,-0.8771132734847732
verb_edges_dist_2,-0.8693789470650363
subordinate_dist_4,-0.813675790535903
subordinate_dist_3,-0.8119442480303195
prep_dist_1,-0.6330770297699471
verb_edges_dist_1,-0.6046000895173871
dep_dist_obl:npmod,-0.5976852539153583
obj_post,-0.5805781890863799
subordinate_dist_1,-0.5531995661334164
verbs_num_pers_dist_Plur+,-0.5479816513047029
verb_edges_dist_0,-0.5038960577023777
subordinate_dist_2,-0.4783483404868757
verbs_num_pers_dist_Sing+2,-0.461875032881816
prep_dist_2,-0.4533349249944137
dep_dist_orphan,-0.4364634657500106
upos_dist_AUX,-0.4295141721121852
lexical_density,-0.40690762779472534
aux_mood_dist_Ind,-0.3993691349430998
aux_num_pers_dist_+,-0.3690157394321606
subj_post,-0.283995963595766
prep_dist_3,-0.27217196955372025
verbs_mood_dist_Ind,-0.2559629466260922
principal_proposition_dist,-0.24788957037594797
dep_dist_csubj:outer,-0.20962385691936009
dep_dist_nsubj,-0.19564557842537872
verbs_num_pers_dist_+2,-0.19485153954180293
dep_dist_dislocated,-0.17027274775212373
aux_form_dist_Ger,-0.1484765210199781
aux_num_pers_dist_Sing+2,-0.09610437788114023
verbs_num_pers_dist_Sing+,-0.08912543517902166
aux_num_pers_dist_Sing+,-0.06905939905335157
dep_dist_csubj:pass,-0.06590421019386242
dep_dist_aux,-0.06425951948854217
verb_edges_dist_3,-0.035154149047568584
prep_dist_4,-0.02854737179645188
verbs_num_pers_dist_+1,-0.027610144578025967
verbs_form_dist_Inf,-0.025247658887198918
verb_edges_dist_5,-0.019505130723396963
aux_num_pers_dist_Plur+2,-0.004275102301272994
aux_num_pers_dist_Plur+,-0.0003304918463873049
verbs_num_pers_dist_Plur+2,-0.00019630940413622176
dep_dist_nmod:poss,7.499384102606337
tokens_per_sent,7.187272522258447
dep_dist_det,6.433131875819627
dep_dist_amod,5.881365396026968
avg_links_len,5.874355370078952
avg_max_depth,5.816924500903128
upos_dist_DET,5.28249087448071
dep_dist_acl:relcl,5.13341898303302
dep_dist_mark,3.3881796248392675
upos_dist_ADJ,3.2568340007558714
upos_dist_NOUN,3.1257041754798474
verbal_head_per_sent,3.007701278611247
dep_dist_appos,2.5507870912436084
dep_dist_cc,2.5422219589742876
subordinate_proposition_dist,2.407224052571035
upos_dist_SCONJ,2.1778095088974907
dep_dist_list,1.4325928481451984
verbs_num_pers_dist_Plur+1,1.346061633250275
dep_dist_compound,1.2942583377067023
upos_dist_PRON,1.281720896201959
subj_pre,1.2592818030064
upos_dist_ADV,1.079685189229122
dep_dist_flat:foreign,1.073660183687387
ttr_lemma_chunks_200,1.0723935274395784
verbs_form_dist_Part,1.0357219077292446
verbs_form_dist_Ger,1.0104234868158106
upos_dist_CCONJ,1.0014505787884105
aux_num_pers_dist_Plur+1,0.9162797238119508
upos_dist_INTJ,0.865725474994015
verbs_tense_dist_Past,0.8465149819238733
upos_dist_PUNCT,0.8443666356001966
verbs_tense_dist_Pres,0.8290206577250057
