Feature,Importance
n_sentences,-14.544364114061477
ttr_form_chunks_100,-9.096389949043019
char_per_tok,-7.753156958791746
upos_dist_VERB,-7.4549638284827395
upos_dist_NUM,-4.413614755754054
upos_dist_AUX,-4.006200992076041
upos_dist_ADP,-3.5535904874204167
upos_dist_PROPN,-3.12493338407245
ttr_form_chunks_200,-2.835801277151081
upos_dist_SYM,-2.4182854724013265
verbs_form_dist_Fin,-1.8749499987075817
subordinate_pre,-1.863256548655889
verbs_mood_dist_Imp,-1.5290630985350677
aux_form_dist_Fin,-1.5181391167882796
subordinate_post,-1.4935379115132297
aux_form_dist_Inf,-1.1531790935876707
subj_post,-1.0751443180640428
obj_pre,-0.8974702311305437
aux_num_pers_dist_Sing+2,-0.8344086007736708
lexical_density,-0.8205432918221719
aux_form_dist_Ger,-0.7891388042643998
upos_dist_ADV,-0.529629003269649
obj_post,-0.500469305382336
verbs_num_pers_dist_Sing+2,-0.4822408678519692
verbs_num_pers_dist_Plur+,-0.4541818861202296
verbal_root_perc,-0.4371816218528409
verbs_mood_dist_Ind,-0.4063494462117154
verbs_num_pers_dist_+2,-0.3351692213599808
aux_mood_dist_Ind,-0.20238729410098294
principal_proposition_dist,-0.17373590672804967
aux_num_pers_dist_Plur+2,-0.10110661288538837
verbs_num_pers_dist_Sing+,-0.08130295382048706
aux_num_pers_dist_Sing+,-0.06055877529851485
aux_num_pers_dist_+,-0.03225937690307332
aux_num_pers_dist_Plur+,-0.0094797929708366
verbs_num_pers_dist_Plur+2,-0.0012570738307115812
aux_num_pers_dist_+2,-2.1182654205796674e-05
upos_dist_DET,12.825155549832793
upos_dist_ADJ,8.626628144393306
upos_dist_PRON,7.889299132067429
tokens_per_sent,7.07120423116368
verbal_head_per_sent,6.233288770884543
upos_dist_PART,5.9548633289149935
upos_dist_NOUN,4.683007470527541
upos_dist_CCONJ,3.6419164022621904
ttr_lemma_chunks_200,2.5738587235085277
upos_dist_SCONJ,2.1433745175804804
upos_dist_INTJ,1.944732718946045
subj_pre,1.9325232999248891
verbs_form_dist_Part,1.7763507823315037
ttr_lemma_chunks_100,1.5196426771286062
verbs_num_pers_dist_Plur+1,1.323242295432039
verbs_form_dist_Ger,1.3200285570177785
subordinate_proposition_dist,1.29288491324508
aux_num_pers_dist_Sing+3,1.0568792189322946
avg_token_per_clause,1.0097891876000988
dep_dist_flat:foreign,0.9677656538618976
n_prepositional_chains,0.9329417806194429
aux_num_pers_dist_Plur+1,0.9099545248264242
verbs_num_pers_dist_+3,0.8915510427462053
n_tokens,0.8915481913847036
upos_dist_PUNCT,0.850387659413878
verbs_num_pers_dist_+,0.827735029719573
aux_num_pers_dist_Plur+3,0.8140500883942496
aux_num_pers_dist_Sing+1,0.7051577004794547
verbs_form_dist_Inf,0.6371539715698086
verbs_tense_dist_Pres,0.45922611910148914
aux_form_dist_Part,0.4573799750787081
verbs_tense_dist_Past,0.3551292864763177
verbs_num_pers_dist_Plur+3,0.3526276165827036
aux_mood_dist_Imp,0.34354822693933057
verbs_num_pers_dist_Sing+1,0.33771883254062196
aux_num_pers_dist_+3,0.274756889239223
verbs_num_pers_dist_Sing+3,0.21727335681025994
aux_tense_dist_Pres,0.10754893323303666
aux_tense_dist_Past,0.034134382809899805
dep_dist_<PAD>,0.026976443326717232
verbs_num_pers_dist_+1,0.00045388114748702774
