Feature,Importance
n_tokens,-17.631168818516997
n_prepositional_chains,-14.377740287288564
n_sentences,-13.665458870182142
dep_dist_parataxis,-9.296015289197028
dep_dist_root,-8.083853155279625
max_links_len,-6.83598830315673
ttr_form_chunks_100,-6.69293327906639
upos_dist_ADP,-6.005984037174009
dep_dist_appos,-4.822301752264156
dep_dist_nmod:tmod,-4.317217647921318
upos_dist_AUX,-4.22248449893769
ttr_form_chunks_200,-3.3564840585280233
dep_dist_nsubj:outer,-3.226332455294606
upos_dist_PROPN,-2.8777798430913957
upos_dist_PART,-2.605099426629375
verb_edges_dist_6,-2.59894403359646
dep_dist_conj,-2.509652834162471
subj_post,-2.420885234002636
dep_dist_ccomp,-2.3165786320638304
dep_dist_dislocated,-2.1125453533071554
dep_dist_flat,-2.0764545418256724
upos_dist_DET,-2.0606723936358007
dep_dist_discourse,-1.938058093052514
verbs_form_dist_Fin,-1.9373458728109147
dep_dist_compound,-1.905643559970009
dep_dist_det:predet,-1.76837964609206
subordinate_proposition_dist,-1.7379771920661995
upos_dist_NUM,-1.6900426622516551
dep_dist_acl,-1.4479946628966287
lexical_density,-1.424380500057498
dep_dist_obl:tmod,-1.2546345889808954
verb_edges_dist_5,-1.163010109011209
subordinate_dist_5,-1.1389176093557867
dep_dist_iobj,-1.082911034957468
aux_form_dist_Fin,-1.0370740079732066
verbs_mood_dist_Imp,-1.030666369006668
verbs_num_pers_dist_Plur+,-0.9625772274935257
verbs_num_pers_dist_Sing+2,-0.9347812820806165
dep_dist_advmod,-0.9167767989064174
verbs_num_pers_dist_+,-0.8938782555304768
dep_dist_cc:preconj,-0.8873521296522463
dep_dist_advcl,-0.8599567859721379
verbs_mood_dist_Ind,-0.8456271658428589
dep_dist_vocative,-0.8396450850672836
dep_dist_dep,-0.809453755330032
obj_pre,-0.7964256950698902
upos_dist_VERB,-0.7422935748784
verb_edges_dist_2,-0.7370054088566109
upos_dist_SCONJ,-0.6854597633407077
dep_dist_csubj:outer,-0.6804676205806801
subordinate_pre,-0.6804305315024969
subordinate_dist_4,-0.6775524327057147
dep_dist_expl,-0.6424764586558205
aux_mood_dist_Ind,-0.6368641971977228
aux_num_pers_dist_+,-0.6354859407541774
dep_dist_fixed,-0.6170143551566667
subordinate_dist_3,-0.6020394714116932
verbs_num_pers_dist_Sing+3,-0.5984431536099615
upos_dist_PRON,-0.5925362507980597
dep_dist_advcl:relcl,-0.5841596569003045
aux_form_dist_Ger,-0.5518686293737608
dep_dist_nmod:desc,-0.5207436970736753
dep_dist_nummod,-0.4992786721690347
subordinate_post,-0.47007591330042914
verbs_num_pers_dist_Plur+3,-0.40544161395190975
subordinate_dist_2,-0.39418074666920416
verbs_num_pers_dist_+1,-0.31717317602414485
dep_dist_csubj,-0.26551884468928844
dep_dist_amod,-0.2540595615299699
dep_dist_nmod:npmod,-0.24302905645216588
upos_dist_SYM,-0.23996541457642012
aux_num_pers_dist_+3,-0.23504274936062405
dep_dist_obl:npmod,-0.13900303750257578
aux_form_dist_Inf,-0.12939727103121132
verbs_num_pers_dist_Sing+,-0.1282233894096032
prep_dist_4,-0.12336188853052275
verb_edges_dist_4,-0.11426799470543578
subordinate_dist_1,-0.09753177063940861
aux_tense_dist_Past,-0.060009228770581784
aux_num_pers_dist_Sing+,-0.05507383972956623
dep_dist_orphan,-0.0383218246098993
verb_edges_dist_3,-0.03394058400142347
aux_num_pers_dist_Plur+,-0.001288485350850967
aux_num_pers_dist_Plur+2,-0.0007741642424365976
verbs_num_pers_dist_Plur+2,-0.0004955604193664399
dep_dist_nmod:poss,6.071060248773206
tokens_per_sent,5.522513095381658
dep_dist_mark,5.241510382670325
dep_dist_det,5.037104672572499
dep_dist_case,4.859350379244243
ttr_lemma_chunks_200,4.788505841780978
dep_dist_nmod,4.610855323911912
ttr_lemma_chunks_100,4.354370009894563
dep_dist_<PAD>,4.097922707959777
avg_max_depth,4.0864102963467435
verbs_form_dist_Ger,4.059252509249453
dep_dist_goeswith,3.9542318298063504
upos_dist_INTJ,3.298882101934451
avg_links_len,3.211677514780646
dep_dist_reparandum,3.208995853891728
upos_dist_X,2.595232524743969
dep_dist_nsubj,2.5838881859672806
dep_dist_aux,2.3774780344778854
dep_dist_cop,2.2426149304433607
dep_dist_list,2.224635506707182
dep_dist_obl:agent,2.2091851484043374
upos_dist_PUNCT,2.1473576374232377
dep_dist_cc,2.1375997457646534
avg_verb_edges,2.00476719629112
avg_max_links_len,1.7591991481039555
verb_edges_dist_1,1.6495643525659633
verbal_head_per_sent,1.6197200706407815
avg_token_per_clause,1.5930213065802676
verbs_form_dist_Part,1.4904156512187647
dep_dist_punct,1.4631475880260727
upos_dist_ADJ,1.4264361872440396
dep_dist_acl:relcl,1.3638750021007426
dep_dist_obl,1.3331102250725084
dep_dist_nsubj:pass,1.280418637908409
verbs_tense_dist_Pres,1.241735729068001
verbs_num_pers_dist_+2,1.1636313349361296
upos_dist_ADV,1.151602362041516
obj_post,1.1219525127389782
prep_dist_1,1.0940913521847697
char_per_tok,1.0592213346504529
prep_dist_2,1.044269116951693
avg_subordinate_chain_len,1.0182796445744329
aux_mood_dist_Imp,0.8849651051716095
prep_dist_3,0.7576657964090834
verbs_tense_dist_Past,0.7298822473225776
aux_num_pers_dist_Plur+1,0.7280550184069181
upos_dist_NOUN,0.7200609331039196
dep_dist_aux:pass,0.7150980404694717
dep_dist_obj,0.6553192344669296
dep_dist_compound:prt,0.5919055492225598
principal_proposition_dist,0.5812312363465111
verb_edges_dist_0,0.5552382590165413
verbal_root_perc,0.515649870439969
verbs_form_dist_Inf,0.4235136004102792
dep_dist_csubj:pass,0.3627936368528865
aux_num_pers_dist_Sing+3,0.31690976508384633
dep_dist_flat:foreign,0.2508918291446431
aux_num_pers_dist_Sing+2,0.24808455166368817
upos_dist_CCONJ,0.23355906480208516
dep_dist_xcomp,0.2321029653414747
aux_form_dist_Part,0.22781300022882273
prep_dist_5,0.18702281778897029
aux_num_pers_dist_Plur+3,0.17778486892940304
avg_prepositional_chain_len,0.1765809126298024
subj_pre,0.16247650904495517
verbs_num_pers_dist_Plur+1,0.14916854914927608
aux_num_pers_dist_Sing+1,0.1347478818116572
verbs_num_pers_dist_+3,0.10993894888875218
verbs_num_pers_dist_Sing+1,0.07468857836746658
aux_tense_dist_Pres,0.013235682680039784
aux_num_pers_dist_+2,9.123419808185207e-05
